code,country,year,start,event_name,crisis_category,hazard_type,displaced
IDN,Indonesia,2022,2022-03-15,Indonesia: Tornado - South Sumatra (Ogan Ilir) - 15/03/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-01-20,Indonesia: Riverine flood - East Java (Jember) - 20/01/2022,Weather related,Flood,10
AFG,Afghanistan,2022,2022-04-18,Afghanistan: Storm - Bamyan (5 Districts) - 18/04/2022,Weather related,Storm,400
MYS,Malaysia,2022,2022-01-18,Malaysia: Landfire - Pulau Pinang - 18/01/2022,Weather related,Wildfire,54
IDN,Indonesia,2022,2022-01-24,Indonesia: Tornado - West Java (Bogor) - 24/01/2022,Weather related,Storm,23
MYS,Malaysia,2022,2022-01-31,Malaysia: Storm - Perak - 31/01/2022,Weather related,Storm,5
IDN,Indonesia,2022,2022-01-31,Indonesia: Tornado - West Java (Banjar) - 31/01/2022,Weather related,Storm,380
MYS,Malaysia,2022,2022-01-28,Malaysia: Thunderstorm - Selangor - 28/01/2022,Weather related,Storm,39
MYS,Malaysia,2022,2022-01-21,Malaysia: Wildfire - Sabah and Johor - 21/01/2022,Weather related,Wildfire,120
MYS,Malaysia,2022,2022-01-18,Malaysia: Landslide - Selangor - 18/01/2022,Weather related,Flood,50
IDN,Indonesia,2022,2022-01-24,Indonesia: Tornado - Lampung (Pesawaran) - 24/01/2022,Weather related,Storm,19
USA,United States,2022,2022-01-21,USA: Wildfire (Colorado Fire) - California (Monterey County) - 21/01/2022	,Weather related,Wildfire,500
IDN,Indonesia,2022,2022-01-23,Indonesia: Tornado - Central Java (Cilacap) - 23/01/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-01-21,Indonesia: Tornado - East Java (Gresik) - 21/01/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-02-01,Indonesia: Tornado - South Sulawesi (Bantaeng) - 01/02/2022,Weather related,Storm,150
IDN,Indonesia,2022,2022-01-20,Indonesia: Flood - South Sumatra (Ogan Ilir) - 20/01/2022,Weather related,Flood,4
PHL,Philippines,2022,2022-01-15,Philippines: Flood [Shear Line] - Region XI (Davao de Oro and Davao del Norte) - 15/01/2022,Weather related,Flood,9600
AFG,Afghanistan,2022,2022-04-13,Afghanistan: Flood - Takhar (Farkhar) - 13/04/2022,Weather related,Flood,48
MYS,Malaysia,2022,2022-02-22,Malaysia: Storm - Malacca - 22/02/2022,Weather related,Storm,13
MYS,Malaysia,2022,2022-02-14,Malaysia: Flood - Sabah - 14/02/2022,Weather related,Flood,31
MYS,Malaysia,2022,2022-02-23,Malaysia: Storm - Pahang - 23/02/2022,Weather related,Storm,28
HTI,Haiti,2022,2022-01-24,Haiti: 5.4 and 5.6 Aftershocks - Nippes department - 24/01/2022,Geophysical,Earthquake,3600
MYS,Malaysia,2022,2022-02-15,Malaysia: Flood - Pahang - 15/02/2022,Weather related,Flood,74
MYS,Malaysia,2022,2022-02-15,Malaysia: Flood - Terengganu - 15/02/2022,Weather related,Flood,4
UZB,Uzbekistan,2022,2022-03-16,Uzbekistan: Flood - Sirdaryo Region - 16/03/2022,Weather related,Flood,68
IDN,Indonesia,2022,2022-01-30,Indonesia: Riverine flood - West Java (Cirebon) - 30/01/2022,Weather related,Flood,160
PAK,Pakistan,2022,2022-01-20,"Pakistan: Flood - Khyber Pakhtunkhwa (Shangla, Swat) - 20/01/2022",Weather related,Flood,14
IDN,Indonesia,2022,2022-02-05,Indonesia: Flood - Central Java (Pekalongan) - 05/02/2022,Weather related,Flood,100
IDN,Indonesia,2022,2022-02-13,Indonesia: Landslide - East Java (Ponorogo) - 13/02/2022,Weather related,Mass Movement,8
IDN,Indonesia,2022,2022-02-21,Indonesia: Flash flood - North Sulawesi (Sitaro) - 21/02/2022,Weather related,Flood,280
CHN,China,2022,2022-01-08,China: Earthquake - 4 Provinces - 08/01/2022 ,Geophysical,Earthquake,14000
IDN,Indonesia,2022,2022-03-01,Indonesia: Flood - East Java (Pamekasan) - 01/03/2022,Weather related,Flood,470
IDN,Indonesia,2022,2022-02-22,Indonesia: Tornado - Yogyakarta Special Region (Gunung Kidul) - 22/02/2022,Weather related,Storm,130
IDN,Indonesia,2022,2022-02-27,Indonesia: Riverine flood - North Sumatra (Medan City) - 27/02/2022,Weather related,Flood,180
IDN,Indonesia,2022,2022-02-23,Indonesia: Flood - East Nusa Tenggara (Kupang City) - 23/02/2022,Weather related,Flood,120
IDN,Indonesia,2022,2022-02-09,Indonesia: Landslide - Central Java (Wonosobo) - 09/02/2022,Weather related,Mass Movement,4
IDN,Indonesia,2022,2022-02-24,Indonesia: Tornado - South Sumatra (Banyu Asin) - 24/02/2022,Weather related,Storm,8
IDN,Indonesia,2022,2022-02-23,Indonesia: Tornado - South Sumatra (Musi Rawas) - 23/02/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-02-24,Indonesia: Tornado - South Sumatra (Musi Rawas) - 24/02/2022,Weather related,Storm,130
AFG,Afghanistan,2022,2022-04-18,Afghanistan: Flood - Parwan (Shinwari) - 18/04/2022,Weather related,Flood,56
IDN,Indonesia,2022,2022-02-14,Indonesia: Flash flood - West Nusa Tenggara (Sumbawa) - 14/02/2022,Weather related,Flood,58
IDN,Indonesia,2022,2022-02-11,Indonesia: Landslide - Central Java (Tegal) - 11/02/2022,Weather related,Mass Movement,570
IDN,Indonesia,2022,2022-02-21,Indonesia: Tornado - South Sumatra (Musi Rawas Utara) - 21/02/2022,Weather related,Storm,4
IDN,Indonesia,2022,2022-02-17,Indonesia: Tornado - Central Java (Cilacap) - 17/02/2022,Weather related,Storm,4
MYS,Malaysia,2022,2022-03-18,Malaysia: Flood - Pahang - 18/03/2022,Weather related,Flood,610
IDN,Indonesia,2022,2022-02-09,Indonesia: Landslide - West Java (Bandung Barat) - 09/02/2022,Weather related,Mass Movement,8
IDN,Indonesia,2022,2022-02-16,Indonesia: Riverine flood - West Java (Bekasi City) - 16/02/2022,Weather related,Flood,50
LKA,Sri Lanka,2022,2022-02-13,"Sri Lanka: Storm - Eastern (Trincomalee/Kinniya,Seruvila) - 13/02/2022",Weather related,Storm,240
IDN,Indonesia,2022,2022-02-13,Indonesia: Flood - South Sulawesi (North Luwu) - 13/02/2022,Weather related,Flood,33
IDN,Indonesia,2022,2022-02-20,Indonesia: Tornado - South Sumatra (Muara Enim) - 20/02/2022,Weather related,Storm,17
KOR,"Korea, Rep.",2022,2022-02-15,Korea: Wildfire - North Gyeongsang (Yeongdeok) - 15/02/2022,Weather related,Wildfire,1000
MYS,Malaysia,2022,2022-02-22,Malaysia: Thunderstorm - Selangor - 22/02/2022,Weather related,Storm,7
IDN,Indonesia,2022,2022-02-19,Indonesia: Flood - North Kalimantan (Nunukan) - 19/02/2022,Weather related,Flood,39
IDN,Indonesia,2022,2022-02-15,Indonesia: Flood - West Java (Bandung Barat) - 15/02/2022,Weather related,Flood,90
IDN,Indonesia,2022,2022-02-22,Indonesia: Flash flood - Maluku (East Seram) - 22/02/2022,Weather related,Flood,840
IDN,Indonesia,2022,2022-02-26,Indonesia: Flood - Aceh (East Aceh) - 27/02/2022,Weather related,Flood,4200
IDN,Indonesia,2022,2022-02-26,Indonesia: Flash flood - Central Java (Brebes) - 26/02/2022,Weather related,Flood,300
MYS,Malaysia,2022,2022-02-26,Malaysia: Flood - Terengganu - 26/02/2022,Weather related,Flood,18000
THA,Thailand,2022,2022-02-25,Thailand: Flood -Songkhla - 27/02/2022,Weather related,Flood,22
AFG,Afghanistan,2022,2022-04-18,Afghanistan: Flood - Herat (Pashtun Zarghun) - 18/04/2022,Weather related,Flood,760
